# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00755  29.347328   0.420018   0.135601  40380.845  41290.115     31   11    157.314    -18.242     43.356   0.212530  -0.022568   0.053639   0.031149  -0.009923   0.023584   0.521607  -0.055389   0.131645   0.037373  -0.011906   0.028297   0.135750   0.001011  0.522    4      6.322
00786  29.781579   0.819615   0.135729  39572.604  40882.398     46   17    369.227   -203.940    112.588   0.515535  -0.260762   0.143957   0.444646  -0.674717   0.372487   0.699945  -0.354038   0.195452   0.484915  -0.735822   0.406222   0.135751   0.001095  0.700    9      6.261
00788  42.266723  -0.743539   0.075092  22336.936  22681.098     40    6    140.311    -12.724     29.787   0.214052  -0.017776   0.041613   0.029964  -0.007465   0.017475   0.297794  -0.024730   0.057893   0.032274  -0.008041   0.018823   0.075048   0.000503  0.298    6      6.259
00791  20.049799  -0.108379   0.077695  22666.708  24548.505     91   56    429.417    -50.797     97.135   0.625621  -0.067772   0.129594   0.750022  -0.243744   0.466089   0.555625  -0.060189   0.115095   0.721994  -0.234635   0.448672   0.077648   0.000796  0.556    7      6.252
00795  57.488632   0.052447   0.131629  38907.365  40645.262     24    6    236.607   -149.134     62.812   0.334711  -0.193195   0.081369   0.121182  -0.209839   0.088379   0.467241  -0.269692   0.113587   0.131860  -0.228329   0.096166   0.131769   0.000351  0.467    6      6.247
00821 322.108128   0.195127   0.138360  40978.631  42189.793     46    5    405.404    -15.380    139.993   0.534588  -0.018573   0.169050   0.497122  -0.051813   0.471607   0.749132  -0.026026   0.236894   0.547193  -0.057032   0.519108   0.138564   0.001492  0.749    5      6.180
00837  35.969847   1.054495   0.136439  40569.115  40981.629     27    5    217.591    -29.895     25.791   0.287386  -0.036158   0.031194   0.077081  -0.029094   0.025100   0.299774  -0.037717   0.032538   0.077928  -0.029414   0.025375   0.136439   0.000435  0.300    3      6.152
00890  33.793496   0.888440   0.122233  36371.421  36894.858     31    8    197.941    -41.914     41.147   0.275047  -0.053335   0.052359   0.066607  -0.038748   0.038039   0.351401  -0.068141   0.066894   0.070728  -0.041145   0.040392   0.122144   0.000652  0.351    4      6.061
00941  43.167642  -0.153717   0.042700  12548.413  13129.111     92   18    241.212    -22.315     43.133   0.365753  -0.030986   0.059893   0.144933  -0.036836   0.071199   0.467245  -0.039584   0.076512   0.154519  -0.039272   0.075908   0.042919   0.000761  0.467    8      5.969
00945  38.279170   1.084282   0.126826  37337.352  38222.639     29    7     92.763    -16.909     41.705   0.138144  -0.023060   0.056875   0.008478  -0.004246   0.010472   0.262397  -0.043801   0.108031   0.009573  -0.004794   0.011824   0.126873   0.000465  0.262    5      5.961
