# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
01557 325.094670   1.286787   0.166000   0.006000     7.534   2.89   1.70   0.27   0.16
01559 340.850920   0.367320   0.060000   0.000000     7.529   7.41   2.72   0.56   0.21
01561 345.477570  -0.649678   0.206500   0.001500     7.527   6.33   2.52   0.50   0.20
01562  33.048230  -0.446998   0.135000   0.000000     7.527   4.57   2.14   0.39   0.18
01576 345.228420   0.172636   0.060000   0.000000     7.501   0.83   0.91   0.10   0.11
01582   5.356819  -0.244985   0.153000   0.007000     7.498   6.31   2.51   0.49   0.20
01607  25.384647  -0.918903   0.220300   0.000300     7.456   3.36   1.83   0.30   0.17
01611  32.954597  -0.001614   0.195000   0.000000     7.454   3.37   1.83   0.30   0.17
01613  29.663399  -0.681011   0.195000   0.000000     7.452   3.94   1.99   0.34   0.17
01644   1.252855   0.974714   0.105000   0.000000     7.406   8.30   2.88   0.61   0.21
01652   4.190120  -0.471668   0.065000   0.000000     7.386  13.53   3.68   0.89   0.24
01660   6.950426   0.171613   0.230000   0.000000     7.379   1.65   1.28   0.18   0.14
01661  41.290325   1.230526   0.090000   0.000000     7.379  10.63   3.26   0.74   0.23
01686  28.263115  -0.477504   0.205000   0.000000     7.344   2.47   1.57   0.24   0.15
01689 337.991150   0.495214   0.225000   0.000000     7.336   1.81   1.34   0.19   0.14
01692 337.296300   0.413442   0.138000   0.008000     7.331   7.27   2.70   0.55   0.20
01699 325.960940   0.845938   0.220000   0.000000     7.318   1.40   1.18   0.16   0.13
01700 328.613300   1.249362   0.125000   0.005000     7.318   8.23   2.87   0.61   0.21
01702  40.320790  -1.230818   0.085000   0.005000     7.317   0.74   0.86   0.09   0.11
01704  41.833180  -1.288483   0.200000   0.000000     7.313   2.34   1.53   0.23   0.15
01706  35.047478   0.734035   0.205000   0.000000     7.310   0.45   0.67   0.06   0.10
01718  15.992783  -0.953174   0.215000   0.000000     7.282   3.50   1.87   0.31   0.17
01757 344.329470  -1.141185   0.200000   0.000000     7.213  11.36   3.37   0.78   0.23
01761   8.564908  -0.784406   0.115000   0.000000     7.202   1.14   1.07   0.13   0.12
01773   9.315354   0.381270   0.220000   0.000000     7.174   1.58   1.26   0.17   0.14
01774  29.780420   0.849850   0.145000   0.000000     7.173   6.66   2.58   0.52   0.20
01781   8.034619  -0.924460   0.160000   0.000000     7.166   0.60   0.78   0.08   0.10
01783  28.634735   0.441341   0.230000   0.000000     7.163   0.83   0.91   0.10   0.11
01805 330.473600   0.068606   0.075000   0.000000     7.123   9.93   3.15   0.70   0.22
01807 344.521730   0.293997   0.125000   0.000000     7.121   5.61   2.37   0.45   0.19
01813  27.335670  -1.056227   0.148000   0.007000     7.112   5.36   2.31   0.44   0.19
01816  46.439350  -1.269741   0.115000   0.000000     7.106   0.24   0.49   0.04   0.08
01829  29.344707   0.408211   0.139000   0.006000     7.091   8.13   2.85   0.60   0.21
01836  35.970764   1.046486   0.165000   0.000000     7.082   2.54   1.59   0.25   0.15
01839  35.991802   1.075277   0.215000   0.000000     7.080   0.89   0.94   0.11   0.12
01840  38.262722   1.091279   0.130000   0.000000     7.080   4.50   2.12   0.38   0.18
01841  26.170270   0.354970   0.075000   0.000000     7.078   6.83   2.61   0.53   0.20
01849   6.130511  -1.104841   0.153500   0.008500     7.067   4.56   2.13   0.38   0.18
01850 345.697300   0.570908   0.175000   0.000000     7.067   4.44   2.11   0.38   0.18
01857   1.883151  -0.808191   0.081000   0.004000     7.061   4.67   2.16   0.39   0.18
01858 349.384600  -1.062878   0.195000   0.000000     7.061   3.70   1.92   0.33   0.17
01870  16.069690  -0.880172   0.070000   0.000000     7.041   7.97   2.82   0.59   0.21
01876  50.156204  -1.222443   0.190000   0.000000     7.037   5.95   2.44   0.47   0.19
01886 343.405600  -1.018210   0.150000   0.000000     7.016   4.65   2.16   0.39   0.18
01888  43.750683   1.177449   0.175000   0.000000     7.015   6.42   2.53   0.50   0.20
01891  27.499410  -0.053856   0.185000   0.005000     7.009   4.01   2.00   0.35   0.17
01896 343.470900   0.814976   0.215000   0.000000     7.005   1.85   1.36   0.19   0.14
01902  35.955246   0.815740   0.220000   0.000000     6.992   0.89   0.95   0.11   0.12
