 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1360,347.4791,+01.1046,347.4827,+01.1113,  5, 0.2510,  32.9,1
1361,347.7242,-00.4929,347.7252,-00.4936,  5, 0.3460,  18.3,2
1362,347.5239,-00.0400,347.5230,-00.0296,  6, 0.3475,  73.0,2
1363,347.2016,-00.3337,347.1890,-00.3281, 10, 0.3199,  45.4,3
1364,347.1454,-01.1342,347.1461,-01.1316,  7, 0.1980,  36.0,2
1365,347.9988,+00.5845,347.9928,+00.5721, 14, 0.4653,  75.3,2
1366,348.1212,+00.4374,348.1179,+00.4316,  8, 0.3560,  89.6,2
1367,346.3177,+00.8884,346.3253,+00.8887,  6, 0.2100,  28.3,4
1368,349.0128,-00.2794,349.0204,-00.2761, 15, 0.4542,  48.7,
1369,347.8384,-00.4675,347.8390,-00.4663,  5, 0.5381,  14.5,3
1370,346.4552,+00.1060,346.4792,+00.1204, 26, 0.3439, 169.2,1
1371,346.3122,-01.2460,346.3126,-01.2496,  5, 0.2110,  44.0,4
1372,346.9417,+00.1377,346.9471,+00.1641,  5, 0.3660,  87.3,
1373,348.8023,+00.2222,348.7927,+00.2062,  6, 0.3583,  89.5,2
1374,348.2240,-00.2611,348.2296,-00.2558, 21, 0.5518, 117.6,2
1375,348.8131,+00.7114,348.8148,+00.7107,  6, 0.4457,  16.2,2
1376,348.3007,-00.7317,348.3115,-00.7277,  5, 0.4775,  40.6,2
1377,347.2903,-00.7191,347.2883,-00.7206,  6, 0.3823,  22.5,3
1378,347.0014,-00.4903,346.9960,-00.4816,  6, 0.3464,  51.2,
1379,347.0672,-00.8490,347.0648,-00.8436,  6, 0.3463,  40.8,2
1380,347.6043,+00.9341,347.6101,+00.9348,  5, 0.3410,  44.3,2
1381,347.6940,+01.1500,347.6962,+01.1487,  5, 0.1734,  29.5,1
1382,347.0122,+00.8236,346.9989,+00.8372,  6, 0.3173,  77.3,
1383,347.8147,+00.7795,347.8098,+00.7774,  5, 0.7133, 112.0,2
