#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J1120.9+4318;170.228750;+43.305778;  204.6;  0.18;  1.30
J1122.9+4659;170.747083;+46.988000;  575.5;  0.44;  5.40
J1123.8+0529;170.955417;+05.499111;  330.7;  0.65;  4.10
J1128.5-0425;172.130833;-04.423528;  394.0;  0.08;  0.73
J1130.3-1436;172.584583;-14.608250; 3179.5;  0.11;  5.40
J1130.9+3113;172.730000;+31.226139;  211.0;  0.82;  3.20
J1138.7+0315;174.683750;+03.261250;  871.5;  0.13;  2.50
J1151.0+5511;177.763750;+55.190250;  128.5;  0.19;
J1151.1+5506;177.800000;+55.115417; 5196.6;  0.08;  1.66
J1151.3+5450;177.849167;+54.835750;  542.5;  0.14;
J1151.5+0148;177.881667;+01.804028;  256.2;  0.17;  2.90
J1158.4+4405;179.602500;+44.092750; 1033.4;  0.41;  4.00
J1158.8+4405;179.714167;+44.093667;  124.1;  0.29;
J1202.1+4427;180.542917;+44.452556;  241.6;  0.41;  3.30
J1203.2+4427;180.807083;+44.454944;  191.8;  0.35;  1.50
J1203.8+0147;180.970000;+01.785139;  404.9;  0.22;  0.80
J1205.5+4419;181.384583;+44.319528;  488.2;  0.34;  2.30
J1206.1+4419;181.528333;+44.323278;  228.0;  0.29;  3.20
J1207.7+2813;181.945417;+28.222222;  191.6;  0.43;  2.70
J1208.0+4339;182.004583;+43.657417;  303.2;  0.27;  2.10
J1209.4+3928;182.372500;+39.467667;  550.1;  0.22;  3.30
J1209.5+3922;182.392500;+39.375778;  545.4;  0.50;  3.40
J1211.9+5029;182.986250;+50.488556;  546.9;  0.10;  0.80
J1212.0+1317;183.022500;+13.294833;  304.5;  0.45;  2.50
J1213.5+0253;183.395000;+02.897167; 2005.1;  0.41;  5.50
J1216.8-1208;184.205417;-12.140500;  218.5;  0.48;  2.60
J1217.7+4729;184.435833;+47.489306;  188.1;  0.27;  9.80
J1217.9+4728;184.477083;+47.481611;  192.7;  0.27;  5.50
J1219.2+1423;184.807500;+14.391722;  138.4;  0.24;  1.40
J1224.7+0711;186.182500;+07.184306;  120.6;  0.54;  7.00
J1225.4+0042;186.367083;+00.708083;  614.3;  0.24;  2.30
J1226.7+3345;186.680417;+33.763861;  396.5;  0.63;
J1226.9+3343;186.735000;+33.724833; 6846.8;  0.50;  4.80
J1226.9+3332;186.742083;+33.547472;16800.5;  0.89; 11.10
J1229.7+1334;187.435833;+13.580722;  374.4;  0.44;  1.70
J1230.2+1339;187.571250;+13.651056;  367.1;  0.27;  3.40
J1230.3+1101;187.577917;+11.017361;  711.2;  0.13;  1.10
J1230.3+1616;187.581667;+16.276139; 2394.6;  0.20;  4.30
J1230.4+1111;187.601250;+11.191056;  982.0;  0.12;  0.80
J1230.8+4134;187.712083;+41.569667;  224.7;  0.54;  4.70
J1231.0+1556;187.772083;+15.940889; 1076.8;  0.19;  3.40
J1231.7+4137;187.935000;+41.625556;  558.9;  0.18;  2.70
J1233.6+3741;188.410417;+37.687472;  109.6;  0.10;  0.90
J1240.4-1148;190.102917;-11.801833;  859.3;  0.19;  2.00
J1241.0+3259;190.253333;+32.999972;  157.5;  0.27;  1.60
J1241.4-0158;190.367083;-01.972778;  229.6;  0.15;
J1242.0+3322;190.511667;+33.367694;  440.0;  0.13;  0.65
J1243.0+0233;190.771667;+02.553583; 1345.9;  0.19;  2.70
J1244.4+1647;191.107917;+16.799444;  322.0;  0.23;  1.30
J1244.9-0033;191.225417;-00.558417; 1268.5;  0.23;  2.10
J1250.7+2633;192.697500;+26.564833;  361.4;  0.30;  2.00
J1252.0-2920;193.015417;-29.345417; 1148.7;  0.19;  2.50
J1252.9-2927;193.227917;-29.453611; 1103.4;  1.24;  5.50
J1254.0+3101;193.512500;+31.030556;  367.7;  0.48;  3.40
J1256.3+2546;194.089583;+25.767750;  137.0;  0.17;  2.60
J1256.8+2548;194.209167;+25.800889;  236.7;  0.28;  1.40
J1257.8+2830;194.469583;+28.502944;  513.4;  0.25;  3.90
J1259.5+2830;194.888333;+28.510917; 1990.7;  0.52;  8.50
J1301.8+5857;195.458750;+58.964861;  132.8;  0.25;
J1304.9-1010;196.235417;-10.169250;   75.5;  0.64;
J1305.0-1016;196.273750;-10.278778;  114.7;  0.33;  2.00
J1305.2+1802;196.312917;+18.037639;  107.6;  0.53;
J1305.5+1756;196.394583;+17.949611; 1416.9;  0.50;  4.70
J1306.0+1801;196.505833;+18.029417;  174.9;  0.93;  4.00
J1306.8-2331;196.707917;-23.524583;  283.8;  0.21;  3.80
